canonical_type,count,sufficient_data,width_mean,width_median,width_p25,width_p75,width_p95,width_mode,width_std,width_min,width_max,height_mean,height_median,height_p25,height_p75,height_p95,height_mode,height_std,height_min,height_max,sizing_h_dominant,sizing_h_dominant_share,sizing_v_dominant,sizing_v_dominant_share,top_aspect,top_aspect_share,dominant_node_type,dominant_node_type_share,screen_width_ratio_median
accordion,0,False,,,,,,,,,,,,,,,,,,,NONE,0.0,NONE,0.0,NONE,0.0,NONE,0.0,
alert,0,False,,,,,,,,,,,,,,,,,,,NONE,0.0,NONE,0.0,NONE,0.0,NONE,0.0,
avatar,0,False,,,,,,,,,,,,,,,,,,,NONE,0.0,NONE,0.0,NONE,0.0,NONE,0.0,
badge,66,True,41.05,39.0,28.0,52.0,60.0,57.0,16.22,17.0,90.0,22.41,23.5,16.0,27.0,33.0,27.0,6.01,16.0,33.0,FIXED,1.0,FIXED,1.0,landscape,0.5,TEXT,1.0,0.034
bottom_nav,0,False,,,,,,,,,,,,,,,,,,,NONE,0.0,NONE,0.0,NONE,0.0,NONE,0.0,
breadcrumbs,0,False,,,,,,,,,,,,,,,,,,,NONE,0.0,NONE,0.0,NONE,0.0,NONE,0.0,
button,8440,True,91.94,48.0,40.0,116.0,340.0,48.0,88.04,16.0,410.0,53.08,52.0,40.0,52.0,60.0,52.0,42.94,22.0,428.0,HUG,0.798,FIXED,0.848,portrait,0.355,INSTANCE,0.889,0.058
button_group,12,True,145.41,130.38,92.61,183.18,258.02,103.0,73.31,62.87,258.02,40.88,40.88,31.08,50.68,50.68,51.0,9.8,31.08,50.68,HUG,1.0,HUG,1.0,wide,0.5,INSTANCE,1.0,0.122
card,172,True,427.97,428.0,428.0,428.0,428.0,428.0,0.18,427.0,428.0,348.85,328.0,194.0,387.0,742.0,194.0,182.01,160.0,778.0,HUG,0.959,HUG,0.965,landscape,0.407,FRAME,1.0,0.513
checkbox,0,False,,,,,,,,,,,,,,,,,,,NONE,0.0,NONE,0.0,NONE,0.0,NONE,0.0,
combobox,0,False,,,,,,,,,,,,,,,,,,,NONE,0.0,NONE,0.0,NONE,0.0,NONE,0.0,
context_menu,0,False,,,,,,,,,,,,,,,,,,,NONE,0.0,NONE,0.0,NONE,0.0,NONE,0.0,
date_picker,0,False,,,,,,,,,,,,,,,,,,,NONE,0.0,NONE,0.0,NONE,0.0,NONE,0.0,
dialog,0,False,,,,,,,,,,,,,,,,,,,NONE,0.0,NONE,0.0,NONE,0.0,NONE,0.0,
drawer,135,True,31.0,31.0,31.0,31.0,31.0,31.0,0.0,31.0,31.0,22.0,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,HUG,1.0,HUG,1.0,landscape,1.0,INSTANCE,1.0,0.037
empty_state,0,False,,,,,,,,,,,,,,,,,,,NONE,0.0,NONE,0.0,NONE,0.0,NONE,0.0,
fab,0,False,,,,,,,,,,,,,,,,,,,NONE,0.0,NONE,0.0,NONE,0.0,NONE,0.0,
file_upload,0,False,,,,,,,,,,,,,,,,,,,NONE,0.0,NONE,0.0,NONE,0.0,NONE,0.0,
header,204,True,927.24,834.0,428.0,1536.0,1536.0,428.0,457.07,428.0,1536.0,111.0,111.0,111.0,111.0,111.0,111.0,0.0,111.0,111.0,FIXED,1.0,FIXED,1.0,very_wide,0.662,INSTANCE,1.0,1.0
heading,2608,True,108.61,66.0,40.0,100.0,322.0,40.0,122.91,7.36,1337.0,22.42,22.0,13.0,34.0,44.0,13.0,11.78,10.0,65.0,HUG,0.488,HUG,0.647,wide,0.541,TEXT,1.0,0.089
icon,15965,True,20.47,20.0,20.0,20.0,20.89,20.0,3.17,10.0,60.0,20.47,20.0,20.0,20.0,20.89,20.0,3.17,10.0,60.0,FIXED,1.0,FIXED,1.0,1:1,1.0,INSTANCE,0.982,0.024
icon_button,0,False,,,,,,,,,,,,,,,,,,,NONE,0.0,NONE,0.0,NONE,0.0,NONE,0.0,
image,816,True,57.53,24.0,24.0,104.0,104.0,24.0,39.47,24.0,104.0,24.0,24.0,24.0,24.0,24.0,24.0,0.0,24.0,24.0,HUG,0.5,HUG,0.5,1:1,0.581,INSTANCE,0.5,0.056
link,0,False,,,,,,,,,,,,,,,,,,,NONE,0.0,NONE,0.0,NONE,0.0,NONE,0.0,
list,0,False,,,,,,,,,,,,,,,,,,,NONE,0.0,NONE,0.0,NONE,0.0,NONE,0.0,
list_item,0,False,,,,,,,,,,,,,,,,,,,NONE,0.0,NONE,0.0,NONE,0.0,NONE,0.0,
menu,0,False,,,,,,,,,,,,,,,,,,,NONE,0.0,NONE,0.0,NONE,0.0,NONE,0.0,
navigation_row,0,False,,,,,,,,,,,,,,,,,,,NONE,0.0,NONE,0.0,NONE,0.0,NONE,0.0,
pagination,0,False,,,,,,,,,,,,,,,,,,,NONE,0.0,NONE,0.0,NONE,0.0,NONE,0.0,
popover,0,False,,,,,,,,,,,,,,,,,,,NONE,0.0,NONE,0.0,NONE,0.0,NONE,0.0,
radio,0,False,,,,,,,,,,,,,,,,,,,NONE,0.0,NONE,0.0,NONE,0.0,NONE,0.0,
radio_group,0,False,,,,,,,,,,,,,,,,,,,NONE,0.0,NONE,0.0,NONE,0.0,NONE,0.0,
search_input,0,False,,,,,,,,,,,,,,,,,,,NONE,0.0,NONE,0.0,NONE,0.0,NONE,0.0,
segmented_control,0,False,,,,,,,,,,,,,,,,,,,NONE,0.0,NONE,0.0,NONE,0.0,NONE,0.0,
select,0,False,,,,,,,,,,,,,,,,,,,NONE,0.0,NONE,0.0,NONE,0.0,NONE,0.0,
sheet,0,False,,,,,,,,,,,,,,,,,,,NONE,0.0,NONE,0.0,NONE,0.0,NONE,0.0,
skeleton,0,False,,,,,,,,,,,,,,,,,,,NONE,0.0,NONE,0.0,NONE,0.0,NONE,0.0,
slider,51,True,340.0,340.0,340.0,340.0,340.0,340.0,0.0,340.0,340.0,22.0,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,FILL,1.0,FIXED,1.0,very_wide,1.0,FRAME,1.0,0.408
stepper,0,False,,,,,,,,,,,,,,,,,,,NONE,0.0,NONE,0.0,NONE,0.0,NONE,0.0,
table,0,False,,,,,,,,,,,,,,,,,,,NONE,0.0,NONE,0.0,NONE,0.0,NONE,0.0,
tabs,205,True,488.47,489.0,489.0,489.0,489.0,489.0,7.59,380.0,489.0,45.24,44.0,44.0,44.0,44.0,44.0,17.7,44.0,298.0,HUG,0.995,HUG,1.0,very_wide,0.995,INSTANCE,0.995,0.586
text,9098,True,75.4,66.0,50.0,94.0,164.0,94.0,49.71,16.0,380.0,14.13,12.0,12.0,15.0,22.0,12.0,3.72,10.0,28.0,FIXED,0.568,FIXED,0.565,very_wide,0.53,TEXT,1.0,0.065
text_input,0,False,,,,,,,,,,,,,,,,,,,NONE,0.0,NONE,0.0,NONE,0.0,NONE,0.0,
textarea,0,False,,,,,,,,,,,,,,,,,,,NONE,0.0,NONE,0.0,NONE,0.0,NONE,0.0,
toast,0,False,,,,,,,,,,,,,,,,,,,NONE,0.0,NONE,0.0,NONE,0.0,NONE,0.0,
toggle,0,False,,,,,,,,,,,,,,,,,,,NONE,0.0,NONE,0.0,NONE,0.0,NONE,0.0,
toggle_group,0,False,,,,,,,,,,,,,,,,,,,NONE,0.0,NONE,0.0,NONE,0.0,NONE,0.0,
tooltip,0,False,,,,,,,,,,,,,,,,,,,NONE,0.0,NONE,0.0,NONE,0.0,NONE,0.0,
system_chrome,2256,True,304.45,54.0,27.4,428.0,1536.0,17.0,465.09,17.0,1536.0,41.14,42.0,22.0,47.0,85.24,42.0,35.11,3.89,493.0,FIXED,0.715,FIXED,0.68,very_wide,0.327,INSTANCE,0.761,0.089
container,1760,True,287.69,264.0,164.0,380.0,830.0,380.0,229.12,16.0,1550.0,64.71,37.0,20.0,52.0,240.0,20.0,91.15,15.0,740.0,FIXED,0.434,HUG,0.725,very_wide,0.451,FRAME,0.921,0.247
